protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,selected_path,final_cached_path,weak_link_shadowing_db,weak_edge,route_discovery_attempts,selected_confidence,final_cached_confidence,candidate_count,short_candidate_seen,long_candidate_seen,short_candidate_confidence,long_candidate_confidence,selected_route_class,case
meshecho-confidence,14,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,14,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,15,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,152,72,80,72,37.511168,37.511168,0.049948,14.854423,7.650028,22.50445,0.937685,1.562965,1.2712,303,1,304,0.996711,0,0.0,0,0,5,3,23,1,0,0,0.878377,0.526316,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,1,1,0,0.905,0.0,short,long-weak-7.5db
meshecho-no-confidence,15,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,152,72,80,72,37.511168,37.511168,0.049948,14.854423,7.650028,22.50445,0.937685,1.562965,1.2712,303,1,304,0.996711,0,0.0,0,0,5,3,23,1,0,0,0.878377,0.526316,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,1,1,0,0.905,0.0,short,long-weak-7.5db
meshecho-confidence,16,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,16,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,17,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,17,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,18,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,18,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,19,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,19,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,20,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,20,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,21,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,21,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,22,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,305,1,306,0.996732,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,22,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,305,1,306,0.996732,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,23,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,23,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,24,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,24,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,25,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,25,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,26,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,26,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,27,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,305,1,306,0.996732,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,27,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,305,1,306,0.996732,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,28,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,152,72,80,72,37.511168,37.511168,0.049948,14.854423,7.650028,22.50445,0.937685,1.562965,1.2712,303,1,304,0.996711,0,0.0,0,0,5,3,23,1,0,0,0.878377,0.526316,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,1,1,0,0.905,0.0,short,long-weak-7.5db
meshecho-no-confidence,28,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,152,72,80,72,37.511168,37.511168,0.049948,14.854423,7.650028,22.50445,0.937685,1.562965,1.2712,303,1,304,0.996711,0,0.0,0,0,5,3,23,1,0,0,0.878377,0.526316,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,1,1,0,0.905,0.0,short,long-weak-7.5db
meshecho-confidence,29,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,29,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,30,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,305,1,306,0.996732,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,30,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,305,1,306,0.996732,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,31,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,31,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,32,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,305,1,306,0.996732,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,32,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,305,1,306,0.996732,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,33,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,33,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,34,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,34,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,35,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,152,72,80,72,37.511168,37.511168,0.049948,14.854423,7.650028,22.50445,0.937685,1.562965,1.2712,303,1,304,0.996711,0,0.0,0,0,5,3,23,1,0,0,0.878377,0.526316,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,1,1,0,0.905,0.0,short,long-weak-7.5db
meshecho-no-confidence,35,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,152,72,80,72,37.511168,37.511168,0.049948,14.854423,7.650028,22.50445,0.937685,1.562965,1.2712,303,1,304,0.996711,0,0.0,0,0,5,3,23,1,0,0,0.878377,0.526316,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,1,1,0,0.905,0.0,short,long-weak-7.5db
meshecho-confidence,36,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,36,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,37,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,37,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,38,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,38,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,39,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,152,72,80,72,37.511168,37.511168,0.049948,14.854423,7.650028,22.50445,0.937685,1.562965,1.2712,303,1,304,0.996711,0,0.0,0,0,5,3,23,1,0,0,0.878377,0.526316,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,1,1,0,0.905,0.0,short,long-weak-7.5db
meshecho-no-confidence,39,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,152,72,80,72,37.511168,37.511168,0.049948,14.854423,7.650028,22.50445,0.937685,1.562965,1.2712,303,1,304,0.996711,0,0.0,0,0,5,3,23,1,0,0,0.878377,0.526316,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,1,1,0,0.905,0.0,short,long-weak-7.5db
meshecho-confidence,40,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,40,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-confidence,41,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
meshecho-no-confidence,41,751.0,24,24,0,1.0,1.0,0.0,2.011552,1.2712,2.011552,0.740352,1.480704,24,24,0,153,72,81,72,37.757952,37.757952,0.050277,14.952149,7.700357,22.652506,0.943854,1.573248,1.2712,306,0,306,1.0,0,0.0,0,0,6,3,23,1,0,0,0.878377,0.529412,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,4-6,1,0.905,0.905,2,1,1,0.905,0.574587,short,long-weak-7.5db
